Date,Open,High,Low,Close,Adj Close,Volume
7/3/2000,0.930804,0.969866,0.930804,0.952009,0.821251,70828800
7/5/2000,0.950893,0.985491,0.90625,0.921875,0.795256,265216000
7/6/2000,0.9375,0.945313,0.886161,0.925223,0.798145,309545600
7/7/2000,0.939174,0.978795,0.930804,0.972098,0.838581,263603200
7/10/2000,0.96596,1.040179,0.959821,1.020089,0.879981,397796000
7/11/2000,1.017857,1.058036,0.989955,1.016741,0.877093,357896000
7/12/2000,1.037946,1.052455,1.006696,1.051339,0.906939,225433600
7/13/2000,1.044643,1.082589,0.977679,1.008929,0.870353,445659200
7/14/2000,1.020089,1.053571,1.015625,1.030134,0.888646,190276800
7/17/2000,1.040179,1.050223,1.020089,1.041295,0.898274,260002400
7/18/2000,1.044643,1.051339,1.015625,1.022321,0.881906,318404800
7/19/2000,0.985491,1.014509,0.924107,0.940848,0.811624,457872800
7/20/2000,0.982143,1.018973,0.966518,0.984375,0.849172,465572800
7/21/2000,0.970703,0.993304,0.945313,0.956473,0.825102,196235200
7/24/2000,0.938616,0.944196,0.848214,0.86942,0.750005,412171200
7/25/2000,0.898438,0.904018,0.876116,0.893973,0.771187,211607200
7/26/2000,0.890067,0.915179,0.879464,0.893973,0.771187,210470400
7/27/2000,0.892857,0.950893,0.890625,0.928571,0.801033,294985600
7/28/2000,0.933594,0.9375,0.837054,0.862723,0.744229,237893600
7/31/2000,0.87779,0.921875,0.870536,0.907366,0.78274,155299200
8/1/2000,0.898438,0.913504,0.879464,0.88058,0.759633,137284000
8/2/2000,0.875,0.891741,0.842634,0.84375,0.727862,162355200
8/3/2000,0.813616,0.858259,0.790179,0.857143,0.739415,339897600
8/4/2000,0.883371,0.915179,0.827009,0.845982,0.729787,263121600
8/7/2000,0.854911,0.876116,0.842634,0.856027,0.738452,187348000
8/8/2000,0.856027,0.857143,0.827009,0.834821,0.720159,176674400
8/9/2000,0.859375,0.864955,0.84375,0.848214,0.731713,379640800
8/10/2000,0.857143,0.864955,0.845982,0.84933,0.732676,251714400
8/11/2000,0.836496,0.857143,0.813616,0.851563,0.734601,238056000
8/14/2000,0.849888,0.851563,0.827009,0.840402,0.724973,156660000
8/15/2000,0.84375,0.856027,0.830357,0.833705,0.719197,114200800
8/16/2000,0.837054,0.875,0.835938,0.866071,0.747117,143673600
8/17/2000,0.863839,0.936384,0.862723,0.918527,0.792368,270900000
8/18/2000,0.917411,0.925223,0.890625,0.892857,0.770224,190176000
8/21/2000,0.897321,0.920759,0.886161,0.901786,0.777926,134467200
8/22/2000,0.904018,0.94308,0.899554,0.922991,0.796219,276802400
8/23/2000,0.919085,0.977679,0.91183,0.969866,0.836656,236863200
8/24/2000,0.976283,1.011161,0.953125,1.001953,0.864336,310766400
8/25/2000,1.008929,1.026786,1.006696,1.014509,0.875167,334460000
8/28/2000,1.022321,1.053571,1.018973,1.03683,0.894423,359004800
8/29/2000,1.033482,1.061384,1.030134,1.05692,0.911752,267030400
8/30/2000,1.053571,1.071429,1.04827,1.0625,0.916566,285392800
8/31/2000,1.053013,1.098214,1.052455,1.08817,0.938711,419596800
9/1/2000,1.094866,1.136161,1.091518,1.132813,0.977222,256872000
9/5/2000,1.118862,1.145089,1.111607,1.114955,0.961817,298642400
9/6/2000,1.095982,1.113839,1.03125,1.043527,0.900199,355404000
9/7/2000,1.055804,1.117188,1.040179,1.107143,0.955077,217464800
9/8/2000,1.100446,1.100446,1.044643,1.051339,0.906939,195518400
9/11/2000,1.047991,1.078125,1.037946,1.043527,0.900199,187381600
9/12/2000,1.023996,1.072545,1.017857,1.03125,0.889609,187997600
9/13/2000,1.013393,1.0625,1.013393,1.035714,0.89346,305984000
9/14/2000,1.045759,1.064732,1.014509,1.015346,0.875889,426552000
9/15/2000,1.03125,1.039063,0.96875,0.986328,0.850857,394514400
9/18/2000,0.986607,1.084821,0.983259,1.083147,0.934378,424536000
9/19/2000,1.066964,1.080357,1.045759,1.070313,0.923306,271510400
9/20/2000,1.060826,1.097098,1.045759,1.090123,0.940396,227388000
9/21/2000,1.044643,1.064732,0.986607,1.012277,0.873242,510490400
9/22/2000,0.898438,0.936384,0.892857,0.93192,0.803921,726700800
9/25/2000,0.941964,0.991071,0.929688,0.955357,0.82414,435551200
9/26/2000,0.952009,0.977679,0.917411,0.918527,0.792368,290936800
9/27/2000,0.924107,0.941964,0.861607,0.873884,0.753857,402259200
9/28/2000,0.88058,0.960938,0.859375,0.955357,0.82414,979585600
9/29/2000,0.503348,0.517857,0.453125,0.459821,0.396665,7421640800
10/2/2000,0.476563,0.477679,0.419643,0.433036,0.373559,2424788800
10/3/2000,0.445313,0.446429,0.396205,0.398438,0.343713,2038120000
